,Date,Day,Min,Max,Range,Min_anomaly_Prophet,Max_anomaly_Prophet,Range_anomaly_Prophet,Min_anomaly_Calculated,Max_anomaly_Calculated,Range_anomaly_Calculated,Min_anomaly_SMA,Max_anomaly_SMA,Range_anomaly_SMA,Min_anomaly_EMA,Max_anomaly_EMA,Range_anomaly_EMA,Vote_Number,Vote_Ratio
1,7.2.2020,Thursday,9.13,14.56,5.43,anomaly,,anomaly,anomaly,,anomaly,,,,,,,4.0,44.44444444444444
4,10.2.2020,Friday,11.94,14.89,2.950000000000001,,anomaly,,,anomaly,,,,,,,,2.0,22.22222222222222
5,11.2.2020,Monday,9.21,14.7,5.489999999999998,anomaly,,anomaly,anomaly,,anomaly,,,,,,,4.0,44.44444444444444
6,12.2.2020,Wednesday,11.1,14.75,3.6500000000000004,,,,,,,,,,,anomaly,,,
11,17.2.2020,Monday,11.99,14.89,2.9000000000000004,,anomaly,,,anomaly,,,,,,,,2.0,22.22222222222222
13,19.2.2020,Wednesday,12.28,14.64,2.360000000000001,,anomaly,,,,,,,,,,,1.0,11.11111111111111
15,21.2.2020,Friday,11.25,14.79,3.539999999999999,,anomaly,,,,,,,,,,,1.0,11.11111111111111
23,29.2.2020,Saturday,8.65,12.17,3.5199999999999996,anomaly,,anomaly,anomaly,,,anomaly,,,,,,4.0,44.44444444444444
26,3.3.2020,Tuesday,12.39,14.51,2.119999999999999,,,,,,,,anomaly,,,,,1.0,11.11111111111111
27,4.3.2020,Friday,12.35,14.61,2.26,,anomaly,,,,,,,,,,,1.0,11.11111111111111
32,9.3.2020,Thursday,11.3,14.3,3.0,,anomaly,,,,,,,,,,,1.0,11.11111111111111
36,13.3.2020,Friday,12.22,14.58,2.3599999999999994,,anomaly,,,,,,,,,,,1.0,11.11111111111111
40,17.3.2020,Tuesday,9.07,12.55,3.4800000000000004,anomaly,,,anomaly,,,anomaly,,,,,,3.0,33.33333333333333
42,19.3.2020,Thursday,8.4,14.67,6.27,anomaly,anomaly,anomaly,anomaly,,anomaly,,,,,,,5.0,55.55555555555556
45,22.3.2020,Sunday,8.49,12.58,4.09,anomaly,,anomaly,anomaly,,,,,,,,,3.0,33.33333333333333
51,28.3.2020,Saturday,9.77,12.38,2.610000000000001,anomaly,,anomaly,,,,,,,,,,2.0,22.22222222222222
61,7.4.2020,Saturday,11.55,14.54,2.9899999999999984,,anomaly,,,,,anomaly,anomaly,anomaly,,,,4.0,44.44444444444444
63,9.4.2020,Friday,11.04,14.37,3.33,,anomaly,anomaly,,,,anomaly,,,,,,3.0,33.33333333333333
70,16.4.2020,Thursday,8.49,14.44,5.949999999999999,anomaly,anomaly,anomaly,anomaly,,anomaly,anomaly,anomaly,anomaly,,,,8.0,88.88888888888889
83,29.4.2020,Wednesday,11.33,11.99,0.6600000000000001,,,,,,,,,anomaly,,,,1.0,11.11111111111111
88,4.5.2020,Sunday,7.2,12.1,4.8999999999999995,anomaly,,anomaly,anomaly,,anomaly,anomaly,,anomaly,,,,6.0,66.66666666666666
